date,price_sterling,period
07/02/2018,51.25,11
07/02/2018,45.5,12
07/02/2018,45.49,13
07/02/2018,44.67,14
07/02/2018,46.48,15
07/02/2018,48.59,16
07/02/2018,55.1,17
07/02/2018,68.59,18
07/02/2018,64.23,19
07/02/2018,60.54,20
07/02/2018,47,21
07/02/2018,43.37,22
07/02/2018,40.67,23
08/02/2018,42.82,0
08/02/2018,42.94,1
08/02/2018,42.76,2
08/02/2018,42.08,3
08/02/2018,41.43,4
08/02/2018,41.24,5
08/02/2018,44.61,6
08/02/2018,54.1,7
08/02/2018,59.17,8
08/02/2018,61.34,9
08/02/2018,61.1,10
08/02/2018,54.38,11
08/02/2018,47.77,12
08/02/2018,46.53,13
08/02/2018,46.82,14
08/02/2018,46,15
08/02/2018,49.02,16
08/02/2018,55.85,17
08/02/2018,64.74,18
08/02/2018,64.61,19
08/02/2018,60.56,20
08/02/2018,47.74,21
08/02/2018,47.48,22
08/02/2018,42.22,23
09/02/2018,47.2,0
09/02/2018,45.97,1
09/02/2018,44.16,2
09/02/2018,41.62,3
09/02/2018,41.06,4
09/02/2018,37.34,5
09/02/2018,44.26,6
09/02/2018,47.91,7
09/02/2018,48.21,8
09/02/2018,51.24,9
09/02/2018,57.66,10
09/02/2018,47.79,11
09/02/2018,44.49,12
09/02/2018,42.55,13
09/02/2018,42.08,14
09/02/2018,41.98,15
09/02/2018,41.94,16
09/02/2018,45.5,17
09/02/2018,70,18
09/02/2018,73.86,19
09/02/2018,62.49,20
09/02/2018,49,21
09/02/2018,49.6,22
09/02/2018,41.65,23
10/02/2018,55.1,0
10/02/2018,47.95,1
10/02/2018,47.93,2
10/02/2018,46.99,3
10/02/2018,41.03,4
10/02/2018,38.99,5
10/02/2018,36.6,6
10/02/2018,39.38,7
10/02/2018,41.42,8
10/02/2018,46.05,9
10/02/2018,48.05,10
10/02/2018,48.08,11
10/02/2018,46.2,12
10/02/2018,46.93,13
10/02/2018,50.1,14
10/02/2018,51.53,15
10/02/2018,48.3,16
10/02/2018,44.41,17
10/02/2018,71.2,18
10/02/2018,72.99,19
10/02/2018,49.9,20
10/02/2018,46.84,21
10/02/2018,42.09,22
10/02/2018,37.91,23
11/02/2018,45.9,0
11/02/2018,46,1
11/02/2018,47.55,2
11/02/2018,45.92,3
11/02/2018,42.94,4
11/02/2018,38.02,5
11/02/2018,35,6
11/02/2018,41,7
11/02/2018,38.03,8
11/02/2018,41.2,9
11/02/2018,43.54,10
11/02/2018,46.87,11
11/02/2018,43.56,12
11/02/2018,48.09,13
11/02/2018,49.56,14
11/02/2018,42.33,15
11/02/2018,41.27,16
11/02/2018,44.1,17
11/02/2018,74.12,18
11/02/2018,83.4,19
11/02/2018,54.09,20
11/02/2018,45.99,21
11/02/2018,48.14,22
11/02/2018,39.71,23
12/02/2018,41.05,0
12/02/2018,45.97,1
12/02/2018,44.05,2
12/02/2018,41.51,3
12/02/2018,41.08,4
12/02/2018,38.54,5
12/02/2018,43.13,6
12/02/2018,47.78,7
12/02/2018,50.39,8
12/02/2018,57.73,9
12/02/2018,64,10
12/02/2018,49.11,11
12/02/2018,48.99,12
12/02/2018,46.19,13
12/02/2018,44.31,14
12/02/2018,48,15
12/02/2018,43.37,16
12/02/2018,50.69,17
12/02/2018,71.97,18
12/02/2018,85,19
12/02/2018,65.51,20
12/02/2018,42.88,21
12/02/2018,42.12,22
12/02/2018,38.81,23
13/02/2018,41.58,0
13/02/2018,47.9,1
13/02/2018,43.45,2
13/02/2018,40.63,3
13/02/2018,39.02,4
13/02/2018,37.51,5
13/02/2018,40.13,6
13/02/2018,45.53,7
13/02/2018,44.47,8
13/02/2018,43.8,9
13/02/2018,50.56,10
13/02/2018,48,11
13/02/2018,45.41,12
13/02/2018,44.04,13
13/02/2018,44.58,14
13/02/2018,44.18,15
13/02/2018,41.44,16
13/02/2018,45.22,17
13/02/2018,62.96,18
13/02/2018,77.45,19
13/02/2018,65.5,20
13/02/2018,58.39,21
13/02/2018,49.58,22
13/02/2018,45.05,23
14/02/2018,49.9,0
14/02/2018,51,1
14/02/2018,47,2
14/02/2018,43.78,3
14/02/2018,43.34,4
14/02/2018,40.3,5
14/02/2018,39.14,6
14/02/2018,44.82,7
14/02/2018,53.75,8
14/02/2018,55.26,9
14/02/2018,53,10
14/02/2018,48.95,11
14/02/2018,44.43,12
14/02/2018,46,13
14/02/2018,44,14
14/02/2018,44.01,15
14/02/2018,50.79,16
14/02/2018,48.44,17
14/02/2018,62,18
14/02/2018,74.99,19
14/02/2018,63.74,20
14/02/2018,43.92,21
14/02/2018,48,22
14/02/2018,42.8,23
15/02/2018,43.99,0
15/02/2018,45.91,1
15/02/2018,43.48,2
15/02/2018,42.75,3
15/02/2018,40,4
15/02/2018,39.03,5
15/02/2018,42.39,6
15/02/2018,48,7
15/02/2018,49,8
15/02/2018,60.6,9
15/02/2018,51.66,10
15/02/2018,45.65,11
15/02/2018,45.1,12
15/02/2018,44.69,13
15/02/2018,42.75,14
15/02/2018,41.74,15
15/02/2018,42.03,16
15/02/2018,43.68,17
15/02/2018,65.01,18
